rowid,ordid,orddt,shpdt,segmt,state,cono,prodid,categ,subct,prdna,sales,order_month,order_day,order_year,order_dayofweek,shipping_delay
530.0,CA-2023-155565,2023-11-28,2023-12-12,Corporate,Punta Negra,Sur,OFF-SU-10001218,Periféricos,Monitores,Genius WideCam F100 Ultra Wide Angle 1080p,380.94,11,28,2023,1,14
531.0,CA-2023-110044,2023-11-28,2023-12-12,Consumer,San Luis,Centro,TEC-PH-10001299,Periféricos,Impresoras,Logitech Brio 4K Ultra HD Webcam con HDR,213.9,11,28,2023,1,14
532.0,CA-2023-121167,2023-11-28,2023-12-12,Consumer,Villa El Salvador,Sur,OFF-BI-10003676,Periféricos,Auriculares / Headsets,Samsung Galaxy Buds Pro 2 Conectividad inalámbrica,104.36,11,28,2023,1,14
533.0,CA-2023-161095,2023-11-28,2023-12-12,Corporate,La Victoria,Centro,OFF-BI-10002764,Componentes,Discos duros (HDD),Recycled Pressboard Report Cover with Reinforced Top Hinge,112.08,11,28,2023,1,14
534.0,CA-2023-161095,2023-11-28,2023-12-12,Corporate,Pucusana,Sur,OFF-BI-10001524,Componentes,Unidades de estado sólido (SSD),Cooler Master Hyper 212 Black Edition Disipador de Aire,280.95,11,28,2023,1,14
535.0,CA-2023-163167,2023-11-28,2023-12-12,Corporate,Jesús María,Centro,TEC-AC-10003441,Periféricos,Teclados,Logitech G502 HERO Ratón Gamer con sensor HERO 25K,179.41,11,28,2023,1,14
536.0,CA-2023-163167,2023-11-28,2023-12-12,Corporate,San Miguel,Centro,OFF-ST-10004459,Componentes,Fuentes de poder,Cooler Master Hyper 212 Black Edition Disipador de Aire,191.47,11,28,2023,1,14
537.0,CA-2023-163167,2023-11-28,2023-12-12,Corporate,El Agustino,Este,OFF-ST-10003805,Componentes,Refrigeración,AMD Ryzen 7 7700X 8 núcleos 16 hilos,111.65,11,28,2023,1,14
538.0,CA-2023-129238,2023-11-28,2023-12-12,Home Office,Villa María del Triunfo,Sur,OFF-PA-10002764,Componentes,Procesadores (CPU),AMD Radeon RX 6800 XT 16GB GDDR6,220.28,11,28,2023,1,14
539.0,CA-2023-147970,2023-11-28,2023-12-12,Consumer,Magdalena del Mar,Centro,OFF-PA-10003936,Componentes,Tarjetas gráficas (GPU),Gigabyte B550 AORUS Elite V2 (Socket AM4),184.13,11,28,2023,1,14
540.0,CA-2023-101560,2023-11-28,2023-12-12,Corporate,San Juan de Lurigancho,Este,FUR-FU-10003773,Almacenamiento,Tarjetas de memoria,HP x796w 64GB USB 3.1,379.99,11,28,2023,1,14
541.0,CA-2023-101560,2023-11-28,2023-12-12,Corporate,San Juan de Lurigancho,Este,OFF-PA-10001363,Componentes,Discos duros (HDD),SanDisk Extreme Pro 1TB NVMe M.2 SSD,98.87,11,28,2023,1,14
542.0,CA-2023-101560,2023-11-28,2023-12-12,Corporate,Santa Rosa,Centro,OFF-AR-10004757,Componentes,Unidades de estado sólido (SSD),ASUS ROG Strix B550-F Gaming WiFi II (Socket AM4),278.96,11,28,2023,1,14
543.0,CA-2023-101560,2023-11-28,2023-12-12,Corporate,Pueblo Libre,Centro,OFF-BI-10000309,Componentes,Placas base,HGST Ultrastar 7K4000 4TB HDD,139.26,11,28,2023,1,14
544.0,US-2023-151827,2023-11-28,2023-12-12,Consumer,Punta Negra,Sur,TEC-PH-10002789,Periféricos,Monitores,Logitech C920 HD Pro Webcam 1080p,100.69,11,28,2023,1,14
545.0,CA-2023-105249,2023-11-28,2023-12-12,Home Office,Comas,Norte,FUR-BO-10000330,Almacenamiento,Pendrives / USB,Corsair Flash Voyager GTX 256GB USB 3.1,382.35,11,28,2023,1,14
546.0,CA-2023-168753,2023-11-29,2023-12-13,Consumer,Comas,Norte,TEC-PH-10000984,Periféricos,Auriculares / Headsets,Panasonic KX-TG9471B,291.72,11,29,2023,2,14
547.0,CA-2023-168753,2023-11-29,2023-12-13,Consumer,Carabayllo,Norte,OFF-BI-10002557,Periféricos,Webcams,Epson WorkForce WF-2830 Impresora Multifunción,132.63,11,29,2023,2,14
548.0,CA-2023-165974,2023-11-29,2023-12-13,Consumer,Lince,Centro,OFF-AR-10003405,Periféricos,Micrófonos,AverMedia PW513 4K UHD Webcam,96.46,11,29,2023,2,14
549.0,US-2023-134712,2023-11-29,2023-12-13,Corporate,Carabayllo,Norte,OFF-FA-10003112,Periféricos,Teclados,Microsoft LifeCam HD-3000 720p,178.62,11,29,2023,2,14
550.0,CA-2023-152555,2023-11-29,2023-12-13,Home Office,Pucusana,Sur,OFF-PA-10001295,Periféricos,Mouse / Ratones,Computer Printout Paper with Letter-Trim Perforations,222.42,11,29,2023,2,14
551.0,CA-2023-152555,2023-11-29,2023-12-13,Home Office,Lurigancho-Chosica,Este,FUR-CH-10002965,Almacenamiento,Pendrives / USB,Seagate Backup Plus Slim 2TB HDD Externo,316.14,11,29,2023,2,14
552.0,CA-2023-152555,2023-11-29,2023-12-13,Home Office,Breña,Centro,TEC-PH-10001254,Periféricos,Impresoras,Apple AirPods Pro 2 gen MagSafe USB-C Cancelación de ruido,187.26,11,29,2023,2,14
553.0,CA-2023-156573,2023-11-29,2023-12-13,Consumer,Los Olivos,Norte,OFF-BI-10002414,Periféricos,Auriculares / Headsets,Brother MFC-J995DW Impresora Multifunción,215.17,11,29,2023,2,14
554.0,CA-2023-156573,2023-11-29,2023-12-13,Consumer,Santa Rosa,Centro,OFF-AR-10003732,Periféricos,Webcams,Jabra Elite 85t Bluetooth Cancelación de ruido activa,323.17,11,29,2023,2,14
555.0,CA-2023-167556,2023-11-29,2023-12-13,Consumer,Punta Negra,Sur,OFF-PA-10000466,Periféricos,Micrófonos,Logitech G502 HERO Ratón Gamer con sensor HERO 25K,343.39,11,29,2023,2,14
556.0,CA-2023-167556,2023-11-29,2023-12-13,Consumer,El Agustino,Este,OFF-BI-10000320,Periféricos,Teclados,HyperX Alloy FPS Pro Teclado Mecánico Tenkeyless,282.84,11,29,2023,2,14
557.0,US-2023-105578,2023-11-30,2023-12-14,Corporate,Villa María del Triunfo,Sur,OFF-BI-10001670,Periféricos,Mouse / Ratones,Logitech C920 HD Pro Webcam 1080p,371.14,11,30,2023,3,14
558.0,US-2023-105578,2023-11-30,2023-12-14,Corporate,Punta Negra,Sur,FUR-CH-10001215,Almacenamiento,Tarjetas de memoria,Global Troy Executive Leather Low-Back Tilter,381.73,11,30,2023,3,14
559.0,US-2023-105578,2023-11-30,2023-12-14,Corporate,Magdalena del Mar,Centro,OFF-BI-10000831,Periféricos,Impresoras,SteelSeries Rival 5 Ratón RGB para Juegos,303.18,11,30,2023,3,14
560.0,CA-2023-146640,2023-11-30,2023-12-14,Consumer,Villa El Salvador,Sur,OFF-BI-10002867,Periféricos,Auriculares / Headsets,Logitech C920 HD Pro Webcam 1080p,284.26,11,30,2023,3,14
561.0,CA-2023-154788,2023-11-30,2023-12-14,Consumer,Breña,Centro,OFF-BI-10003314,Periféricos,Webcams,Tuff Stuff Recycled Round Ring Binders,145.59,11,30,2023,3,14
562.0,US-2023-120460,2023-11-30,2023-12-14,Home Office,Comas,Norte,FUR-FU-10004973,Almacenamiento,Discos externos,Flat Face Poster Frame,247.67,11,30,2023,3,14
563.0,CA-2023-164483,2023-11-30,2023-12-14,Consumer,Punta Negra,Sur,OFF-BI-10000014,Periféricos,Teclados,Heavy-Duty E-Z-D Binders,160.94,11,30,2023,3,14
564.0,CA-2023-109218,2023-11-30,2023-12-14,Corporate,Lurigancho-Chosica,Este,OFF-AR-10001374,Periféricos,Mouse,Razer DeathAdder V2 Ratón Gamer con cable,329.31,11,30,2023,3,14
565.0,CA-2023-103590,2023-11-30,2023-12-14,Consumer,Breña,Centro,OFF-EN-10004007,Componentes,Discos duros (HDD),NZXT C850 850W 80 Plus Gold Fully Modular,342.02,11,30,2023,3,14
566.0,CA-2023-116757,2023-11-30,2023-12-14,Corporate,El Agustino,Este,OFF-FA-10002815,Componentes,Unidades de estado sólido (SSD),Cooler Master Hyper 212 Black Edition Disipador de Aire,293.08,11,30,2023,3,14
567.0,CA-2023-146885,2023-11-30,2023-12-14,Corporate,Independencia,Norte,OFF-PA-10001622,Componentes,Placas base,AMD Ryzen 9 7950X 16 núcleos 32 hilos,102.82,11,30,2023,3,14
568.0,US-2023-121566,2023-11-30,2023-12-14,Consumer,Villa María del Triunfo,Sur,OFF-BI-10004528,Componentes,Fuentes de poder,Cardinal Poly Pocket Divider Pockets for Ring Binders,144.17,11,30,2023,3,14
569.0,US-2023-121566,2023-11-30,2023-12-14,Consumer,Pucusana,Sur,OFF-AR-10001026,Componentes,Refrigeración,SanDisk Extreme Pro 1TB NVMe M.2 SSD,310.32,11,30,2023,3,14
570.0,CA-2023-113831,2023-11-30,2023-12-14,Corporate,Comas,Norte,FUR-TA-10002645,Almacenamiento,Tarjetas de memoria,Hon Rectangular Conference Tables,306.96,11,30,2023,3,14
571.0,CA-2023-113831,2023-11-30,2023-12-14,Corporate,Pucusana,Sur,TEC-AC-10003033,Periféricos,Mouse,SteelSeries Rival 5 Ratón RGB para Juegos,361.12,11,30,2023,3,14
572.0,CA-2023-113831,2023-11-30,2023-12-14,Corporate,Lurigancho-Chosica,Este,OFF-LA-10001297,Componentes,Memoria RAM,AMD Ryzen 5 5600X 6 núcleos 12 hilos,310.91,11,30,2023,3,14
573.0,CA-2023-145800,2023-11-30,2023-12-14,Consumer,Santa Rosa,Centro,FUR-TA-10001539,Almacenamiento,Tarjetas de memoria,Chromcraft Rectangular Conference Tables,368.31,11,30,2023,3,14
574.0,CA-2023-129714,2023-12-01,2023-12-15,Home Office,Magdalena del Mar,Centro,TEC-AC-10000290,Periféricos,Auriculares / Headsets,Razer Kiyo Pro Webcam Full HD con HDR y sensor Sony,1744.16,12,1,2023,4,14
575.0,CA-2023-129714,2023-12-01,2023-12-15,Home Office,Independencia,Norte,OFF-PA-10001970,Periféricos,Webcams,Razer DeathAdder V2 Ratón Gamer con cable,1705.29,12,1,2023,4,14
576.0,CA-2023-129714,2023-12-01,2023-12-15,Home Office,San Juan de Miraflores,Sur,OFF-BI-10004995,Periféricos,Micrófonos,Jabra Elite 85t Bluetooth Cancelación de ruido activa,1656.11,12,1,2023,4,14
577.0,CA-2023-120859,2023-12-01,2023-12-15,Corporate,Lince,Centro,OFF-EN-10001335,Periféricos,Teclados,SteelSeries Rival 5 Ratón RGB para Juegos,1774.47,12,1,2023,4,14
578.0,CA-2023-113621,2023-12-01,2023-12-15,Consumer,Los Olivos,Norte,TEC-PH-10003931,Periféricos,Mouse,Microsoft Bluetooth Mouse Ratón Inalámbrico,1979.81,12,1,2023,4,14
579.0,CA-2023-120474,2023-12-01,2023-12-15,Consumer,San Martín de Porres,Norte,FUR-CH-10001854,Almacenamiento,Tarjetas de memoria,Kingston DataTraveler Exodia 128GB USB 3.2,2253.94,12,1,2023,4,14
580.0,CA-2023-136434,2023-12-01,2023-12-15,Consumer,Punta Hermosa,Sur,FUR-FU-10001196,Almacenamiento,Discos externos,DAX Cubicle Frames - 8x10,2727.38,12,1,2023,4,14
581.0,CA-2023-131051,2023-12-01,2023-12-15,Consumer,Miraflores,Centro,FUR-FU-10001861,Almacenamiento,Pendrives / USB,HP x796w 64GB USB 3.1,2384.61,12,1,2023,4,14
582.0,CA-2023-155481,2023-12-01,2023-12-15,Corporate,San Juan de Miraflores,Sur,TEC-PH-10002293,Periféricos,Webcams,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,2664.56,12,1,2023,4,14
583.0,CA-2023-155481,2023-12-01,2023-12-15,Corporate,San Isidro,Centro,OFF-FA-10002780,Periféricos,Micrófonos,Logitech M185 Ratón Inalámbrico Compacto,2441.87,12,1,2023,4,14
584.0,CA-2023-136483,2023-12-01,2023-12-15,Consumer,Santa Anita,Este,OFF-AR-10000940,Periféricos,Teclados,Jabra Elite 85t Bluetooth Cancelación de ruido activa,2505.74,12,1,2023,4,14
585.0,CA-2023-131527,2023-12-01,2023-12-15,Consumer,Villa María del Triunfo,Sur,TEC-PH-10001644,Periféricos,Mouse / Ratones,SteelSeries Apex Pro Teclado Mecánico con Switches Omnipoint,2037.53,12,1,2023,4,14
586.0,US-2023-150035,2023-12-01,2023-12-15,Consumer,Cieneguilla,Este,FUR-FU-10003724,Almacenamiento,Discos externos,Samsung T7 Portable SSD 1TB Externo,1848.43,12,1,2023,4,14
587.0,CA-2023-152163,2023-12-01,2023-12-15,Consumer,Magdalena del Mar,Centro,OFF-BI-10002215,Componentes,Tarjetas gráficas (GPU),Western Digital Blue 1TB HDD,1994.55,12,1,2023,4,14
588.0,CA-2023-152163,2023-12-01,2023-12-15,Consumer,Breña,Centro,OFF-BI-10003364,Componentes,Memoria RAM,SanDisk Extreme Pro 1TB NVMe M.2 SSD,2382.98,12,1,2023,4,14
589.0,CA-2023-150798,2023-12-01,2023-12-15,Consumer,El Agustino,Este,FUR-FU-10000221,Almacenamiento,Discos externos,"Master Caster Door Stop, Brown",1814.2,12,1,2023,4,14
590.0,CA-2023-150798,2023-12-01,2023-12-15,Consumer,Breña,Centro,FUR-CH-10000015,Almacenamiento,Pendrives / USB,SanDisk Ultra Flair USB 3.0 64GB,2526.19,12,1,2023,4,14
591.0,CA-2023-127698,2023-12-01,2023-12-15,Consumer,Santa Rosa,Centro,TEC-PH-10003811,Periféricos,Teclados,Jabra Supreme Plus Driver Edition Headset,2210.05,12,1,2023,4,14
592.0,CA-2023-112158,2023-12-02,2023-12-16,Consumer,Surco,Centro,TEC-AC-10003628,Periféricos,Mouse / Ratones,HP OfficeJet Pro 9015 Impresora Multifunción,2698.24,12,2,2023,5,14
593.0,CA-2023-112158,2023-12-02,2023-12-16,Consumer,Carabayllo,Norte,FUR-BO-10003272,Almacenamiento,Pendrives / USB,Crucial X8 1TB SSD Externo,1641.66,12,2,2023,5,14
594.0,CA-2023-112158,2023-12-02,2023-12-16,Consumer,Villa El Salvador,Sur,OFF-BI-10000050,Periféricos,Impresoras,"Angle-D Binders with Locking Rings, Label Holders",2445.0,12,2,2023,5,14
595.0,CA-2023-149314,2023-12-02,2023-12-16,Corporate,Barranco,Sur,FUR-CH-10002126,Almacenamiento,Discos externos,HP x796w 64GB USB 3.1,2741.4700000000003,12,2,2023,5,14
596.0,CA-2023-130407,2023-12-02,2023-12-16,Consumer,Lince,Centro,FUR-FU-10001967,Almacenamiento,Pendrives / USB,Telescoping Adjustable Floor Lamp,2299.01,12,2,2023,5,14
597.0,US-2023-108455,2023-12-02,2023-12-16,Consumer,Punta Negra,Sur,OFF-PA-10002464,Periféricos,Micrófonos,Elgato Facecam Full HD 1080p 60fps para streaming,1870.17,12,2,2023,5,14
598.0,US-2023-117744,2023-12-02,2023-12-16,Corporate,Pachacámac,Sur,FUR-FU-10001588,Almacenamiento,Discos externos,SanDisk Extreme Pro 128GB USB 3.2 Gen 1,2146.14,12,2,2023,5,14
599.0,US-2023-117744,2023-12-02,2023-12-16,Corporate,San Juan de Lurigancho,Este,OFF-AR-10000940,Periféricos,Mouse / Ratones,Canon PIXMA TS9120 Impresora Multifunción,2508.2,12,2,2023,5,14
600.0,US-2023-117744,2023-12-02,2023-12-16,Corporate,San Luis,Centro,FUR-FU-10002759,Almacenamiento,Tarjetas de memoria,Western Digital My Passport SSD 1TB Externo,2181.11,12,2,2023,5,14
601.0,CA-2023-116540,2023-12-02,2023-12-16,Consumer,Magdalena del Mar,Centro,OFF-FA-10002676,Periféricos,Impresoras,Colored Push Pins,1843.23,12,2,2023,5,14
602.0,CA-2023-156265,2023-12-02,2023-12-16,Corporate,San Martín de Porres,Norte,FUR-TA-10001691,Almacenamiento,Pendrives / USB,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",2666.41,12,2,2023,5,14
603.0,CA-2023-156265,2023-12-02,2023-12-16,Corporate,Lurigancho-Chosica,Este,TEC-PH-10001918,Periféricos,Webcams,Nortel Business Series Terminal T7208 Digital phone,1926.84,12,2,2023,5,14
604.0,CA-2023-156265,2023-12-02,2023-12-16,Corporate,Los Olivos,Norte,OFF-BI-10000285,Componentes,Memoria RAM,Intel Core i7-13700F 13ª Gen 16 núcleos,2613.3,12,2,2023,5,14
605.0,US-2023-150861,2023-12-03,2023-12-17,Consumer,La Victoria,Centro,FUR-TA-10002228,Almacenamiento,Pendrives / USB,Samsung BAR Plus 64GB USB 3.1,1802.59,12,3,2023,6,14
606.0,US-2023-150861,2023-12-03,2023-12-17,Consumer,La Victoria,Centro,FUR-TA-10002228,Almacenamiento,Discos externos,Samsung BAR Plus 64GB USB 3.1,785.87,12,3,2023,6,14
607.0,CA-2023-158099,2023-12-03,2023-12-17,Home Office,San Isidro,Centro,OFF-BI-10000545,Periféricos,Monitores,Canon imageCLASS MF743Cdw Impresora Láser a color,2724.19,12,3,2023,6,14
608.0,CA-2023-122749,2023-12-03,2023-12-17,Consumer,Surquillo,Centro,TEC-PH-10003811,Periféricos,Impresoras,Jabra Supreme Plus Driver Edition Headset,1797.89,12,3,2023,6,14
609.0,CA-2023-159737,2023-12-03,2023-12-17,Consumer,Barranco,Sur,OFF-BI-10004236,Periféricos,Auriculares / Headsets,Logitech MX Master 3S Ratón Inalámbrico Ergonómico,1682.05,12,3,2023,6,14
610.0,CA-2023-132143,2023-12-03,2023-12-17,Corporate,Lurigancho-Chosica,Este,OFF-PA-10002713,Periféricos,Webcams,Sony WF-1000XM4 Inalámbricos Cancelación activa de ruido,2527.05,12,3,2023,6,14
611.0,CA-2023-164861,2023-12-03,2023-12-17,Corporate,Barranco,Sur,OFF-PA-10001972,Periféricos,Micrófonos,Brother HL-L2350DW Impresora Láser,1842.98,12,3,2023,6,14
612.0,CA-2023-163986,2023-12-03,2023-12-17,Consumer,Pucusana,Sur,OFF-ST-10000918,Periféricos,Teclados,Logitech StreamCam Full HD 1080p 60fps,2015.24,12,3,2023,6,14
613.0,CA-2023-130029,2023-12-03,2023-12-17,Consumer,Villa María del Triunfo,Sur,OFF-PA-10000552,Periféricos,Mouse / Ratones,AverMedia PW513 4K UHD Webcam,1976.45,12,3,2023,6,14
614.0,US-2023-161683,2023-12-03,2023-12-17,Consumer,Villa El Salvador,Sur,OFF-AP-10000179,Componentes,Unidades de estado sólido (SSD),Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,2570.3900000000003,12,3,2023,6,14
615.0,US-2023-161683,2023-12-03,2023-12-17,Consumer,San Isidro,Centro,OFF-BI-10001072,Componentes,Placas base,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",1626.6,12,3,2023,6,14
616.0,US-2023-101616,2023-12-03,2023-12-17,Corporate,Santa Rosa,Centro,OFF-BI-10000014,Componentes,Fuentes de poder,ASUS TUF Gaming GeForce RTX 3080 OC 10GB,2361.61,12,3,2023,6,14
617.0,CA-2023-153598,2023-12-03,2023-12-17,Consumer,Pachacámac,Sur,FUR-FU-10001085,Almacenamiento,Pendrives / USB,Corsair Flash Voyager GTX 256GB USB 3.1,2006.99,12,3,2023,6,14
618.0,CA-2023-126004,2023-12-04,2023-12-18,Consumer,San Juan de Lurigancho,Este,FUR-FU-10001602,Almacenamiento,Tarjetas de memoria,Kingston DataTraveler Exodia 128GB USB 3.2,2431.4700000000003,12,4,2023,0,14
619.0,CA-2023-126004,2023-12-04,2023-12-18,Consumer,Pueblo Libre,Centro,OFF-PA-10001685,Periféricos,Teclados,Easy-staple paper,1673.21,12,4,2023,0,14
620.0,CA-2023-126004,2023-12-04,2023-12-18,Consumer,Pachacámac,Sur,OFF-ST-10001418,Periféricos,Mouse,Logitech G502 HERO Ratón Gamer con sensor HERO 25K,2264.7,12,4,2023,0,14
621.0,CA-2023-126004,2023-12-04,2023-12-18,Consumer,Magdalena del Mar,Centro,OFF-ST-10000676,Periféricos,Monitores,Canon imageCLASS MF743Cdw Impresora Láser a color,1822.59,12,4,2023,0,14
622.0,CA-2023-139885,2023-12-04,2023-12-18,Corporate,San Isidro,Centro,OFF-ST-10003324,Periféricos,Impresoras,SteelSeries Rival 5 Ratón RGB para Juegos,2337.48,12,4,2023,0,14
623.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Breña,Centro,OFF-SU-10002573,Periféricos,Auriculares / Headsets,Logitech Brio 4K Ultra HD Webcam con HDR,1669.98,12,4,2023,0,14
624.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Pachacámac,Sur,FUR-FU-10001591,Almacenamiento,Tarjetas de memoria,SanDisk Ultra Flair USB 3.0 64GB,2081.98,12,4,2023,0,14
625.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Punta Negra,Sur,OFF-LA-10002034,Periféricos,Micrófonos,Microsoft Bluetooth Mouse Ratón Inalámbrico,2646.37,12,4,2023,0,14
626.0,US-2023-128195,2023-12-04,2023-12-18,Consumer,Santa Anita,Este,OFF-BI-10002003,Periféricos,Teclados,HP OfficeJet Pro 9015 Impresora Multifunción,2522.27,12,4,2023,0,14
627.0,CA-2023-127187,2023-12-04,2023-12-18,Corporate,Comas,Norte,TEC-PH-10000673,Periféricos,Mouse / Ratones,SteelSeries Apex Pro Teclado Mecánico con Switches Omnipoint,2230.82,12,4,2023,0,14
628.0,CA-2023-169971,2023-12-04,2023-12-18,Consumer,Independencia,Norte,OFF-AR-10001044,Periféricos,Monitores,SteelSeries Apex Pro Teclado Mecánico con Switches Omnipoint,1842.65,12,4,2023,0,14
629.0,CA-2023-111913,2023-12-04,2023-12-18,Corporate,San Martín de Porres,Norte,TEC-PH-10002275,Periféricos,Impresoras,Genius WideCam F100 Ultra Wide Angle 1080p,2335.11,12,4,2023,0,14
630.0,CA-2023-147137,2023-12-04,2023-12-18,Consumer,Lurigancho-Chosica,Este,FUR-FU-10000221,Almacenamiento,Tarjetas de memoria,Samsung BAR Plus 64GB USB 3.1,2184.1,12,4,2023,0,14
631.0,CA-2023-147137,2023-12-04,2023-12-18,Consumer,Los Olivos,Norte,OFF-EN-10003567,Componentes,Placas base,Seagate FireCuda 530 2TB NVMe M.2 SSD,1779.83,12,4,2023,0,14
632.0,CA-2023-147137,2023-12-04,2023-12-18,Consumer,Miraflores,Centro,FUR-BO-10001811,Almacenamiento,Pendrives / USB,Crucial X8 1TB SSD Externo,1689.73,12,4,2023,0,14
633.0,CA-2023-147137,2023-12-04,2023-12-18,Consumer,La Victoria,Centro,OFF-ST-10002486,Componentes,Refrigeración,Eldon Shelf Savers Cubes and Bins,2561.4,12,4,2023,0,14
634.0,CA-2023-123120,2023-12-04,2023-12-18,Consumer,Comas,Norte,FUR-FU-10004748,Almacenamiento,Discos externos,"Howard Miller 16"" Diameter Gallery Wall Clock",1672.84,12,4,2023,0,14
635.0,CA-2023-123120,2023-12-04,2023-12-18,Consumer,Jesús María,Centro,OFF-BI-10001460,Componentes,Tarjetas gráficas (GPU),ASRock Z790 Steel Legend WiFi (Socket LGA1700),2372.46,12,4,2023,0,14
636.0,CA-2023-123120,2023-12-04,2023-12-18,Consumer,Ate,Este,OFF-SU-10002503,Componentes,Memoria RAM,Cooler Master MWE Gold 650W 80 Plus Gold Modular,2340.68,12,4,2023,0,14
637.0,CA-2023-105277,2023-12-04,2023-12-18,Consumer,Santa Rosa,Centro,OFF-BI-10000301,Componentes,Discos duros (HDD),AMD Radeon RX 6800 XT 16GB GDDR6,2515.25,12,4,2023,0,14
638.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Breña,Centro,OFF-SU-10002573,Periféricos,Webcams,AverMedia PW513 4K UHD Webcam,2709.85,12,4,2023,0,14
639.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Pachacámac,Sur,FUR-FU-10001591,Almacenamiento,Tarjetas de memoria,SanDisk Extreme Pro 128GB USB 3.2 Gen 1,2419.46,12,4,2023,0,14
640.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Punta Negra,Sur,OFF-LA-10002034,Periféricos,Teclados,Microsoft Bluetooth Mouse Ratón Inalámbrico,1806.98,12,4,2023,0,14
641.0,US-2023-128195,2023-12-04,2023-12-18,Consumer,Santa Anita,Este,OFF-BI-10002003,Periféricos,Mouse / Ratones,Brother HL-L2350DW Impresora Láser,2044.12,12,4,2023,0,14
642.0,CA-2023-127187,2023-12-04,2023-12-18,Corporate,Comas,Norte,TEC-PH-10000673,Periféricos,Monitores,Razer BlackWidow V3 Teclado Mecánico RGB,2267.12,12,4,2023,0,14
643.0,CA-2023-169971,2023-12-04,2023-12-18,Consumer,Independencia,Norte,OFF-AR-10001044,Periféricos,Impresoras,Logitech MX Keys Teclado Inalámbrico Iluminado,1729.03,12,4,2023,0,14
644.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Breña,Centro,OFF-SU-10002573,Periféricos,Auriculares / Headsets,Razer Kiyo Pro Webcam Full HD con HDR y sensor Sony,2420.66,12,4,2023,0,14
645.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Pachacámac,Sur,FUR-FU-10001591,Almacenamiento,Tarjetas de memoria,HP x796w 64GB USB 3.1,2433.75,12,4,2023,0,14
646.0,CA-2023-110254,2023-12-04,2023-12-18,Home Office,Punta Negra,Sur,OFF-LA-10002034,Periféricos,Micrófonos,Logitech G502 HERO Ratón Gamer con sensor HERO 25K,1727.03,12,4,2023,0,14
647.0,US-2023-128195,2023-12-04,2023-12-18,Consumer,Santa Anita,Este,OFF-BI-10002003,Periféricos,Teclados,Canon PIXMA TS9120 Impresora Multifunción,1864.94,12,4,2023,0,14
648.0,CA-2023-127187,2023-12-04,2023-12-18,Corporate,Comas,Norte,TEC-PH-10000673,Periféricos,Mouse / Ratones,Microsoft Sculpt Ergonomic Keyboard,2327.48,12,4,2023,0,14
649.0,CA-2023-169971,2023-12-04,2023-12-18,Consumer,Independencia,Norte,OFF-AR-10001044,Periféricos,Monitores,Redragon K552 Kumara Teclado Mecánico Compacto,2419.04,12,4,2023,0,14
650.0,CA-2023-111913,2023-12-04,2023-12-18,Corporate,San Martín de Porres,Norte,TEC-PH-10002275,Periféricos,Impresoras,Elgato Facecam Full HD 1080p 60fps para streaming,1662.93,12,4,2023,0,14
651.0,CA-2023-147137,2023-12-04,2023-12-18,Consumer,Lurigancho-Chosica,Este,FUR-FU-10000221,Almacenamiento,Tarjetas de memoria,PNY Turbo Attaché 4 128GB USB 3.0,2661.85,12,4,2023,0,14
652.0,CA-2023-147137,2023-12-04,2023-12-18,Consumer,Los Olivos,Norte,OFF-EN-10003567,Componentes,Memoria RAM,Kingston A2000 1TB NVMe M.2 SSD,2428.44,12,4,2023,0,14
653.0,CA-2023-147137,2023-12-04,2023-12-18,Consumer,Miraflores,Centro,FUR-BO-10001811,Almacenamiento,Pendrives / USB,Western Digital My Passport 1TB HDD Externo,2598.73,12,4,2023,0,14
654.0,CA-2023-147137,2023-12-04,2023-12-18,Consumer,La Victoria,Centro,OFF-ST-10002486,Componentes,Unidades de estado sólido (SSD),Eldon Shelf Savers Cubes and Bins,2196.67,12,4,2023,0,14
655.0,CA-2023-123120,2023-12-04,2023-12-18,Consumer,Comas,Norte,FUR-FU-10004748,Almacenamiento,Discos externos,"Howard Miller 16"" Diameter Gallery Wall Clock",2535.44,12,4,2023,0,14
656.0,CA-2023-123120,2023-12-04,2023-12-18,Consumer,Jesús María,Centro,OFF-BI-10001460,Componentes,Fuentes de poder,ASRock B450M Steel Legend (Socket AM4),1933.34,12,4,2023,0,14
657.0,CA-2023-123120,2023-12-04,2023-12-18,Consumer,Ate,Este,OFF-SU-10002503,Componentes,Refrigeración,Cooler Master MWE Gold 650W 80 Plus Gold Modular,2200.65,12,4,2023,0,14
